value,lower,upper
2,-2000,-61
0,-61,-59
0,-59,-57
0,-57,-55
0,-55,-53
0,-53,-51
0,-51,-49
0,-49,-47
0,-47,-45
1,-45,-43
1,-43,-41
0,-41,-39
0,-39,-37
2,-37,-35
1,-35,-33
0,-33,-31
3,-31,-29
2,-29,-27
4,-27,-25
3,-25,-23
4,-23,-21
3,-21,-19
4,-19,-17
7,-17,-15
9,-15,-13
6,-13,-11
16,-11,-9
12,-9,-7
15,-7,-5
22,-5,-3
51,-3,-1
211,-1,1
79,1,3
78,3,5
67,5,7
59,7,9
61,9,11
57,11,13
77,13,15
55,15,17
51,17,19
49,19,21
46,21,23
28,23,25
34,25,27
28,27,29
20,29,31
23,31,33
22,33,35
15,35,37
8,37,39
12,39,41
10,41,43
6,43,45
5,45,47
5,47,49
4,49,51
2,51,53
2,53,55
4,55,57
0,57,59
1,59,61
3,61,2000
